variant,benchmark,input_value,input_metric,phase,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,32,n,verify,0.049000,0.051000,0.051000,s
32-reg,collatz,33,n,decode,0.196000,0.197000,0.200000,s
32-reg,collatz,33,n,trace,0.069000,0.070000,0.070000,s
32-reg,collatz,33,n,preprocess,2.155000,2.172000,2.291000,s
32-reg,collatz,33,n,prove,0.652000,0.655000,0.659000,s
32-reg,collatz,33,n,verify,0.049000,0.050000,0.052000,s
32-reg,collatz,34,n,decode,0.195000,0.197000,0.199000,s
32-reg,collatz,34,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,34,n,preprocess,2.158000,2.193000,2.229000,s
32-reg,collatz,34,n,prove,0.610000,0.614000,0.618000,s
32-reg,collatz,34,n,verify,0.049000,0.051000,0.052000,s
32-reg,collatz,35,n,decode,0.195000,0.196000,0.199000,s
32-reg,collatz,35,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,35,n,preprocess,2.161000,2.176000,2.293000,s
32-reg,collatz,35,n,prove,0.608000,0.613000,0.621000,s
32-reg,collatz,35,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,36,n,decode,0.193000,0.194000,0.197000,s
32-reg,collatz,36,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,36,n,preprocess,2.157000,2.200000,2.296000,s
32-reg,collatz,36,n,prove,0.645000,0.646000,0.649000,s
32-reg,collatz,36,n,verify,0.049000,0.051000,0.053000,s
32-reg,collatz,37,n,decode,0.193000,0.195000,0.205000,s
32-reg,collatz,37,n,trace,0.059000,0.071000,0.071000,s
32-reg,collatz,37,n,preprocess,2.160000,2.172000,2.293000,s
32-reg,collatz,37,n,prove,0.644000,0.649000,0.656000,s
32-reg,collatz,37,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,38,n,decode,0.193000,0.196000,0.199000,s
32-reg,collatz,38,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,38,n,preprocess,2.155000,2.168000,2.293000,s
32-reg,collatz,38,n,prove,0.649000,0.652000,0.659000,s
32-reg,collatz,38,n,verify,0.049000,0.051000,0.052000,s
32-reg,collatz,39,n,decode,0.193000,0.194000,0.215000,s
32-reg,collatz,39,n,trace,0.070000,0.070000,0.072000,s
32-reg,collatz,39,n,preprocess,2.159000,2.165000,2.238000,s
32-reg,collatz,39,n,prove,0.652000,0.656000,0.661000,s
32-reg,collatz,39,n,verify,0.051000,0.051000,0.053000,s
32-reg,collatz,40,n,decode,0.195000,0.196000,0.198000,s
32-reg,collatz,40,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,40,n,preprocess,2.157000,2.161000,2.200000,s
32-reg,collatz,40,n,prove,0.606000,0.613000,0.621000,s
32-reg,collatz,40,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,41,n,decode,0.194000,0.196000,0.197000,s
32-reg,collatz,41,n,trace,0.072000,0.072000,0.073000,s
32-reg,collatz,41,n,preprocess,2.153000,2.164000,2.228000,s
32-reg,collatz,41,n,prove,0.863000,0.887000,0.892000,s
32-reg,collatz,41,n,verify,0.051000,0.052000,0.054000,s
32-reg,collatz,42,n,decode,0.195000,0.196000,0.198000,s
32-reg,collatz,42,n,trace,0.069000,0.069000,0.070000,s
32-reg,collatz,42,n,preprocess,2.156000,2.177000,2.229000,s
32-reg,collatz,42,n,prove,0.607000,0.613000,0.617000,s
32-reg,collatz,42,n,verify,0.051000,0.051000,0.052000,s
32-reg,collatz,43,n,decode,0.192000,0.194000,0.206000,s
32-reg,collatz,43,n,trace,0.069000,0.070000,0.072000,s
32-reg,collatz,43,n,preprocess,2.159000,2.168000,2.286000,s
32-reg,collatz,43,n,prove,0.652000,0.653000,0.657000,s
32-reg,collatz,43,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,44,n,decode,0.193000,0.195000,0.198000,s
32-reg,collatz,44,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,44,n,preprocess,2.157000,2.176000,2.276000,s
32-reg,collatz,44,n,prove,0.612000,0.617000,0.620000,s
32-reg,collatz,44,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,45,n,decode,0.193000,0.196000,0.196000,s
32-reg,collatz,45,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,45,n,preprocess,2.161000,2.190000,2.312000,s
32-reg,collatz,45,n,prove,0.613000,0.617000,0.620000,s
32-reg,collatz,45,n,verify,0.051000,0.051000,0.052000,s
32-reg,collatz,46,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,46,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,46,n,preprocess,2.162000,2.189000,2.287000,s
32-reg,collatz,46,n,prove,0.615000,0.616000,0.621000,s
32-reg,collatz,46,n,verify,0.050000,0.052000,0.052000,s
32-reg,collatz,47,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,47,n,trace,0.071000,0.072000,0.073000,s
32-reg,collatz,47,n,preprocess,2.159000,2.175000,2.190000,s
32-reg,collatz,47,n,prove,0.856000,0.881000,0.885000,s
32-reg,collatz,47,n,verify,0.052000,0.053000,0.053000,s
32-reg,collatz,48,n,decode,0.195000,0.197000,0.199000,s
32-reg,collatz,48,n,trace,0.070000,0.070000,0.072000,s
32-reg,collatz,48,n,preprocess,2.167000,2.190000,2.290000,s
32-reg,collatz,48,n,prove,0.610000,0.615000,0.618000,s
32-reg,collatz,48,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,49,n,decode,0.192000,0.195000,0.207000,s
32-reg,collatz,49,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,49,n,preprocess,2.159000,2.208000,2.340000,s
32-reg,collatz,49,n,prove,0.647000,0.651000,0.654000,s
32-reg,collatz,49,n,verify,0.050000,0.051000,0.053000,s
32-reg,collatz,50,n,decode,0.193000,0.194000,0.206000,s
32-reg,collatz,50,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,50,n,preprocess,2.160000,2.190000,2.291000,s
32-reg,collatz,50,n,prove,0.648000,0.651000,0.654000,s
32-reg,collatz,50,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,52,n,decode,0.194000,0.196000,0.197000,s
32-reg,collatz,52,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,52,n,preprocess,2.161000,2.173000,2.294000,s
32-reg,collatz,52,n,prove,0.612000,0.616000,0.618000,s
32-reg,collatz,52,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,54,n,decode,0.193000,0.194000,0.196000,s
32-reg,collatz,54,n,trace,0.072000,0.072000,0.074000,s
32-reg,collatz,54,n,preprocess,2.159000,2.198000,2.326000,s
32-reg,collatz,54,n,prove,0.862000,0.866000,0.891000,s
32-reg,collatz,54,n,verify,0.052000,0.053000,0.054000,s
32-reg,collatz,56,n,decode,0.194000,0.196000,0.199000,s
32-reg,collatz,56,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,56,n,preprocess,2.159000,2.188000,2.306000,s
32-reg,collatz,56,n,prove,0.615000,0.619000,0.625000,s
32-reg,collatz,56,n,verify,0.051000,0.051000,0.052000,s
32-reg,collatz,58,n,decode,0.194000,0.196000,0.199000,s
32-reg,collatz,58,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,58,n,preprocess,2.158000,2.165000,2.316000,s
32-reg,collatz,58,n,prove,0.616000,0.620000,0.624000,s
32-reg,collatz,58,n,verify,0.050000,0.051000,0.052000,s
32-reg,collatz,60,n,decode,0.193000,0.197000,0.197000,s
32-reg,collatz,60,n,trace,0.070000,0.071000,0.072000,s
32-reg,collatz,60,n,preprocess,2.159000,2.166000,2.291000,s
32-reg,collatz,60,n,prove,0.614000,0.617000,0.622000,s
32-reg,collatz,60,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,62,n,decode,0.194000,0.195000,0.208000,s
