variant,benchmark,input_value,input_metric,group,name,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,5,n,verify,memory,0.009000,0.010000,0.010000,s
32-reg,collatz,6,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,6,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,preprocess,setup,2.537000,2.588000,2.697000,s
32-reg,collatz,6,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,6,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,6,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,6,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,6,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,6,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,6,n,prove,commit,0.016000,0.017000,0.018000,s
32-reg,collatz,6,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,6,n,prove,il,0.317000,0.321000,0.333000,s
32-reg,collatz,6,n,prove,rwm,0.065000,0.068000,0.071000,s
32-reg,collatz,6,n,prove,spartan,0.033000,0.034000,0.036000,s
32-reg,collatz,6,n,prove,openings,0.183000,0.188000,0.191000,s
32-reg,collatz,6,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,6,n,verify,instruction_lookups,0.014000,0.014000,0.014000,s
32-reg,collatz,6,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,7,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,7,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,7,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,7,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,7,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
