variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,38,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,39,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,39,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,39,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,40,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,40,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,40,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,41,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,41,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,41,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,42,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,42,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,42,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,43,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,43,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,43,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,44,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,44,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,44,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,45,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,45,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,45,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,46,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,46,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,46,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,47,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,47,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,47,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,48,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,48,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,48,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,49,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,49,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,49,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,50,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,50,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,50,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,52,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,52,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,52,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,54,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,54,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,54,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,56,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,56,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,56,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,58,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,58,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,58,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,60,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,60,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,60,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,62,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,62,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,62,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,64,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,64,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,64,n,total,0.128000,0.128000,0.128000,MB
